model,layer,head,rA,mean_conc,r_conc_entropy,head_dim
gpt2,7,2,-0.91946596,0.2733920797191817,-0.18020205997361866,64
gpt2,7,3,-0.7291548,0.35961655501661627,-0.39046991534621645,64
gpt2,7,4,-0.8355793,0.3436440671312398,-0.04974507063289086,64
gpt2,7,5,-0.6010876,0.34980325657745887,-0.6496133622259294,64
gpt2,7,6,-0.8233083,0.34624501137897884,-0.4415647567654546,64
gpt2,7,7,-0.7809154,0.34369919012332784,-0.2721895027687931,64
gpt2,7,8,-0.57401943,0.3686662377982304,-0.29678375144332725,64
gpt2,7,9,-0.62968755,0.3592597148541746,-0.5465124202224645,64
gpt2,7,10,-0.8820634,0.291558847858988,-0.10326852109553328,64
gpt2,7,11,-0.9075729,0.297030920612401,-0.21766631463444056,64
gpt2,8,0,-0.7701968,0.37604294768695173,-0.5344770835739524,64
gpt2,8,1,-0.93325096,0.2818296901110945,-0.24688946401330414,64
gpt2,8,2,-0.6960803,0.28375256524003784,-0.6293703501979896,64
gpt2,8,3,-0.8322183,0.3397621574073002,-0.08930365883027705,64
gpt2,8,4,-0.625645,0.3384962076770848,-0.18220141405727508,64
gpt2,8,5,-0.6749559,0.3175975438849679,-0.3721575257178999,64
gpt2,8,6,-0.7432969,0.3497642905547701,-0.2373064082285191,64
gpt2,8,7,-0.76535887,0.3316653422240553,-0.0345748323379617,64
gpt2,8,8,-0.4967675,0.3714199014778795,-0.42418055265658666,64
gpt2,8,9,-0.7919751,0.3163016268919254,-0.46722834251212647,64
gpt2,8,10,-0.59747267,0.36005890369415283,-0.5038882019885672,64
gpt2,8,11,-0.70617217,0.29133984343758945,-0.49754794852777007,64
gpt2,9,0,-0.6196776,0.35056250362560665,-0.5268549333029853,64
gpt2,9,1,-0.66796523,0.3210338667548936,-0.48709927563362154,64
gpt2,9,2,-0.5262682,0.3940733342335142,-0.5638393371425209,64
gpt2,9,3,-0.636993,0.38376958822381907,-0.7505761786190702,64
gpt2,9,4,-0.85221606,0.3484832875687501,-0.11615705487961671,64
gpt2,9,5,-0.74979204,0.3498182861969389,-0.5704664893068422,64
gpt2,9,6,-0.75001884,0.3533047006048005,-0.42139532747836267,64
gpt2,9,7,-0.7039352,0.3258517764765641,-0.39307555771718716,64
gpt2,9,8,-0.87917936,0.33356939872791025,-0.13077966423863274,64
gpt2,9,9,-0.8272565,0.341050596072756,-0.1330279737074946,64
gpt2,9,10,-0.71916246,0.34588037585390025,-0.5012538379710167,64
gpt2,9,11,-0.7689647,0.3189401004848809,-0.4810509680930234,64
gpt2,10,0,-0.44264746,0.38538900634338114,-0.5889410320648003,64
gpt2,10,1,-0.70170665,0.3139239621573481,-0.43148194977840015,64
gpt2,10,2,-0.79208505,0.33422515207323533,-0.4115787879672445,64
gpt2,10,3,-0.74237204,0.3130072360408717,-0.17676738037331416,64
gpt2,10,4,-0.6552929,0.3182679830953993,-0.6059858195758502,64
gpt2,10,5,-0.781046,0.34629183545194825,-0.19433359783757956,64
gpt2,10,6,-0.7081677,0.2732737038669915,-0.40073591986246127,64
gpt2,10,7,-0.5972538,0.3990714642508277,0.07730164524598293,64
gpt2,10,8,-0.9046375,0.31636612888040216,-0.4103555948666578,64
gpt2,10,9,-0.7099557,0.310352087020874,-0.3609780405541503,64
gpt2,10,10,-0.8758029,0.37578957861867446,-0.5419650699099126,64
gpt2,10,11,-0.6377448,0.36754691189733046,-0.07079748825830279,64
gpt2,11,0,-0.6174351,0.30799583319959967,-0.44564282869815885,64
gpt2,11,1,-0.7724957,0.29639090546246233,-0.16613090817117726,64
gpt2,11,2,-0.7035351,0.31080146544966203,-0.189029347652436,64
gpt2,11,3,-0.45783538,0.38660637880193777,-0.40955491780400494,64
gpt2,11,4,-0.7918211,0.3399539189092044,-0.3390433914787584,64
gpt2,11,5,-0.7581333,0.2920416521614996,-0.47477884968517126,64
gpt2,11,6,-0.8667689,0.30274593881491957,-0.16329317472928945,64
gpt2,11,7,-0.814486,0.32439132805528315,-0.28551756299060116,64
gpt2,11,8,-0.22416933,0.5464560923905208,-0.8514271794032084,64
gpt2,11,9,-0.71400696,0.3301972849615689,-0.5003897126444626,64
gpt2,11,10,-0.51808965,0.37328607100864936,-0.23450762946527307,64
gpt2,11,11,-0.576614,0.3966096480344904,-0.12542369496913097,64
gpt2-medium,0,0,-0.4673958,0.2929906839954442,-0.7675609245099917,64
gpt2-medium,0,1,-0.4469734,0.43608574517841997,-0.5731213129345575,64
gpt2-medium,0,2,-0.5296859,0.3940211174816921,-0.705830735541919,64
gpt2-medium,0,3,-0.52129996,0.42439179995964316,-0.349932407509001,64
gpt2-medium,0,4,-0.41788518,0.3752117095322445,-0.0741423657298884,64
gpt2-medium,0,5,-0.1957977,0.3177016259267412,-0.7858636809492094,64
gpt2-medium,0,6,-0.40857774,0.3574401854441084,-0.00885892812722916,64
gpt2-medium,0,7,-0.3404601,0.5265949522626812,0.22320045328325003,64
gpt2-medium,0,8,-0.47798938,0.4672579508403252,-0.07789867747832137,64
gpt2-medium,0,9,-0.35550272,0.29324082516390704,-0.6280532105985923,64
gpt2-medium,0,10,-0.25004756,0.31125322189824334,-0.8290719687286652,64
gpt2-medium,0,11,-0.56810087,0.4176878959968172,-0.17097492870511732,64
gpt2-medium,0,12,-0.29598743,0.29979730782837705,-0.8681358197097409,64
gpt2-medium,0,13,-0.417842,0.46658189954428836,0.5472719012605932,64
gpt2-medium,0,14,-0.7021446,0.2880416712884245,-0.7696455413938561,64
gpt2-medium,0,15,-0.64061177,0.3620963106895315,-0.02423611501862972,64
gpt2-medium,1,0,-0.5152105,0.40628635369498156,-0.720320788247518,64
gpt2-medium,1,1,-0.4395936,0.5487321502175825,-0.41404701222004453,64
gpt2-medium,1,2,-0.6259188,0.45566117249686144,-0.6316238658504935,64
gpt2-medium,1,3,-0.5442287,0.441195888765927,0.003456053019004769,64
gpt2-medium,1,4,-0.5634158,0.6195034199747546,-0.5535249407206531,64
gpt2-medium,1,5,-0.40675014,0.49727928535691623,0.24188210489937537,64
gpt2-medium,1,6,-0.5508351,0.42031989734748315,-0.2204597944510532,64
gpt2-medium,1,7,-0.62734944,0.3117308210709999,-0.7480188235789194,64
gpt2-medium,1,8,-0.6881459,0.49179249590840834,0.09313714700912074,64
gpt2-medium,1,9,-0.33543518,0.36020521357141694,-0.7968067140931615,64
gpt2-medium,1,10,-0.7081212,0.5135251345305607,-0.09810844176396202,64
gpt2-medium,1,11,-0.54717004,0.4780321552835662,0.10226030169451023,64
gpt2-medium,1,12,-0.40287068,0.5644902617766939,0.047658553483848676,64
gpt2-medium,1,13,-0.6413487,0.4740410662930587,-0.03455477490110562,64
gpt2-medium,1,14,-0.50068474,0.28994940478226233,-0.7304560316375664,64
gpt2-medium,1,15,0.078024074,0.45632852254242734,-0.7207549374816813,64
