model,layer,head,rA,mean_conc,r_conc_entropy,head_dim
gpt2-medium,13,3,-0.4494773,0.3905752583824355,-0.4358400567879197,64
gpt2-medium,13,4,-0.5788528,0.39117842707140693,-0.40553289537081283,64
gpt2-medium,13,5,-0.7546606,0.3322751049337716,-0.2737800403023764,64
gpt2-medium,13,6,-0.8356019,0.32950477713140947,-0.48056933151106845,64
gpt2-medium,13,7,-0.8800873,0.31050272080405006,-0.5569737044787403,64
gpt2-medium,13,8,-0.5285286,0.3905116432699664,-0.6279347738826346,64
gpt2-medium,13,9,-0.6709596,0.36501116331281336,-0.4543031552663487,64
gpt2-medium,13,10,-0.76858157,0.3344330253272221,-0.4924543496729187,64
gpt2-medium,13,11,-0.7113512,0.34814976412674475,-0.5980189470703373,64
gpt2-medium,13,12,-0.6032114,0.3608425259590149,-0.28417202568639494,64
gpt2-medium,13,13,-0.7303988,0.3668443704473561,-0.11089966581686787,64
gpt2-medium,13,14,-0.6920459,0.3201335797022129,-0.16576216769067278,64
gpt2-medium,13,15,-0.87061846,0.34542371692328616,-0.5005545229859159,64
gpt2-medium,14,0,-0.6700251,0.3582581877708435,-0.09038905007457777,64
gpt2-medium,14,1,-0.74812204,0.33771645714496745,-0.25437621254077913,64
gpt2-medium,14,2,-0.91304237,0.2881041796043001,-0.014126581815886368,64
gpt2-medium,14,3,-0.79093105,0.33253482292438374,-0.5093090159633589,64
gpt2-medium,14,4,-0.7957754,0.3301145059281382,-0.020703586861890926,64
gpt2-medium,14,5,-0.7386704,0.346531992328578,-0.4175777340490382,64
gpt2-medium,14,6,-0.72645754,0.2993385601660301,-0.3734547484912439,64
gpt2-medium,14,7,-0.46469486,0.3571424715477845,-0.6521722665805189,64
gpt2-medium,14,8,-0.52099353,0.40836621666776723,-0.02727731043449201,64
gpt2-medium,14,9,-0.71101254,0.37315644169675893,-0.1986158110304624,64
gpt2-medium,14,10,-0.7363409,0.3029461312910606,-0.3645979647199874,64
gpt2-medium,14,11,-0.8003736,0.2942170937513483,-0.16931580647447025,64
gpt2-medium,14,12,-0.8330894,0.38107066627206476,-0.4262973146487192,64
gpt2-medium,14,13,-0.53997755,0.388405978679657,-0.19944472424306908,64
gpt2-medium,14,14,-0.573525,0.3602720694295291,-0.17927049663000477,64
gpt2-medium,14,15,-0.78920215,0.33728493698712053,-0.2675974114102995,64
gpt2-medium,15,0,-0.9210897,0.3142434476778425,-0.485686559579919,64
gpt2-medium,15,1,-0.50760174,0.39527342031741963,-0.19823708106476032,64
gpt2-medium,15,2,-0.7962392,0.3348674712509945,-0.47190183363587396,64
gpt2-medium,15,3,-0.5868465,0.39981698270501764,-0.31645300687879047,64
gpt2-medium,15,4,-0.7589381,0.3696802607898054,-0.30828699181057917,64
gpt2-medium,15,5,-0.4676062,0.4093587655445625,-0.5241098703094623,64
gpt2-medium,15,6,-0.7850805,0.32442437780314476,-0.6721878993341128,64
gpt2-medium,15,7,-0.5759538,0.3726355567060668,-0.4257426910201209,64
gpt2-medium,15,8,-0.45439088,0.38784488316239984,-0.5320634519017419,64
gpt2-medium,15,9,-0.6392956,0.40003756921866845,-0.1997859626041567,64
gpt2-medium,15,10,-0.8030494,0.3379995442669967,-0.010656808807329592,64
gpt2-medium,15,11,-0.72806,0.3369195322538244,-0.548945421007201,64
gpt2-medium,15,12,-0.8913303,0.3194237598057451,-0.2079084802553002,64
gpt2-medium,15,13,-0.60909235,0.36773923707419426,-0.42434236149882065,64
gpt2-medium,15,14,-0.46530512,0.3590667895201979,-0.5904224964377838,64
gpt2-medium,15,15,-0.67207235,0.35117476870273723,-0.14870326997850283,64
gpt2-medium,16,0,-0.71116644,0.3378697274060085,-0.3044980875954479,64
gpt2-medium,16,1,-0.88853544,0.3593407006099306,0.028605130166945582,64
gpt2-medium,16,2,-0.72691,0.34200593418088454,-0.23046877356415166,64
gpt2-medium,16,3,-0.8273805,0.31173917085959996,-0.3499722254670256,64
gpt2-medium,16,4,-0.76142,0.35668656538272725,-0.14522200178791267,64
gpt2-medium,16,5,-0.7360968,0.3351797014474869,-0.172569009886034,64
gpt2-medium,16,6,-0.8244044,0.2963588772148922,-0.5097616532945773,64
gpt2-medium,16,7,-0.6840774,0.37461169320961524,-0.41185815249592894,64
gpt2-medium,16,8,-0.7472274,0.32436039170314523,-0.26549460443117057,64
gpt2-medium,16,9,-0.76513755,0.30107573753800887,-0.4163361762226292,64
gpt2-medium,16,10,-0.46404678,0.39045051767908295,-0.48623570957611795,64
gpt2-medium,16,11,-0.8797574,0.2801797451644108,-0.4205736949765799,64
gpt2-medium,16,12,-0.6838195,0.3594034195973955,-0.3792680365511211,64
gpt2-medium,16,13,-0.6884335,0.34183763532802974,-0.24555898332225842,64
gpt2-medium,16,14,-0.76698357,0.3744962225700247,-0.2677965435290129,64
gpt2-medium,16,15,-0.5781052,0.4030771245216501,-0.04315237939067987,64
gpt2-medium,17,0,-0.80685407,0.3244558074351015,-0.2690845136550006,64
gpt2-medium,17,1,-0.79617584,0.30834420539181806,-0.4607667856357465,64
gpt2-medium,17,2,-0.7750371,0.3440310143191239,-0.17919090459149195,64
gpt2-medium,17,3,-0.7413874,0.3123581152537773,-0.5764556218121943,64
gpt2-medium,17,4,-0.8119615,0.3413626716054719,-0.3401326954093644,64
gpt2-medium,17,5,-0.7146922,0.32241038258733423,-0.296519296266785,64
gpt2-medium,17,6,-0.5661586,0.3771450725095025,-0.40461962920744676,64
gpt2-medium,17,7,-0.78308976,0.3188458943161471,0.11695269334002589,64
gpt2-medium,17,8,-0.85499346,0.28882637568588915,-0.2742470365158945,64
gpt2-medium,17,9,-0.7649623,0.3031976217853612,-0.42693391753440424,64
gpt2-medium,17,10,-0.625349,0.3912979682971691,-0.5374639115048409,64
gpt2-medium,17,11,-0.669734,0.3761843288766927,-0.5179726501025965,64
gpt2-medium,17,12,-0.56478804,0.37670567837254754,-0.3296018108700339,64
gpt2-medium,17,13,-0.6949308,0.32923496180567247,-0.28967450105921666,64
gpt2-medium,17,14,-0.68302315,0.33309534911451666,-0.4052622208620322,64
gpt2-medium,17,15,-0.45911327,0.42658197365958117,-0.384023445926013,64
gpt2-medium,18,0,-0.54573554,0.39915285644860105,-0.40585139739050385,64
gpt2-medium,18,1,-0.5790998,0.36422145674968587,-0.5013123989851707,64
gpt2-medium,18,2,-0.70735896,0.37400865965876084,-0.2621481207981597,64
gpt2-medium,18,3,-0.75278866,0.31115019629741536,0.062218186366072,64
gpt2-medium,18,4,-0.8109021,0.3307460258746969,-0.21326716097284418,64
gpt2-medium,18,5,-0.8355948,0.30769005726123677,-0.2717086945810809,64
gpt2-medium,18,6,-0.6739463,0.3551596171897033,-0.11918783267481256,64
gpt2-medium,18,7,-0.76680106,0.3075471438210586,-0.015063976962557367,64
gpt2-medium,18,8,-0.6610489,0.3844611978736417,0.0038466872519207318,64
gpt2-medium,18,9,-0.7827393,0.34641877741649235,-0.09944326721812057,64
gpt2-medium,18,10,-0.83888227,0.3205400838934142,-0.29950412690734124,64
gpt2-medium,18,11,-0.85139376,0.32387035982362156,-0.2085744747412688,64
gpt2-medium,18,12,-0.76189846,0.33441224077652243,-0.14858908593096537,64
gpt2-medium,18,13,-0.67053694,0.3428722250050512,-0.17795666299069102,64
gpt2-medium,18,14,-0.795437,0.3193720502072367,-0.10717343908196773,64
gpt2-medium,18,15,-0.68998235,0.3235132884362648,-0.45226200851374565,64
gpt2-medium,19,0,-0.38300893,0.4027204143589941,-0.21563690336911004,64
gpt2-medium,19,1,-0.4696633,0.37747538038368883,-0.17485920475213157,64
gpt2-medium,19,2,-0.8050573,0.34931573631434604,-0.11129414386995583,64
gpt2-medium,19,3,-0.86728466,0.2898309960447509,-0.07935934020121585,64
gpt2-medium,19,4,-0.6348888,0.34029708854083357,-0.4753695260842958,64
gpt2-medium,19,5,-0.6358508,0.34199313459725217,-0.4046989971471767,64
gpt2-medium,19,6,-0.65836436,0.3665531334178201,-0.4587678907356243,64
gpt2-medium,19,7,-0.70354664,0.3537663360094202,-0.187300335112491,64
gpt2-medium,19,8,-0.70517033,0.3378808369924282,-0.45899764862225995,64
gpt2-medium,19,9,-0.8198822,0.3255880906664092,0.04036544827975946,64
gpt2-medium,19,10,-0.6494008,0.3116762211610531,-0.4001530666478689,64
gpt2-medium,19,11,-0.8208649,0.3436409682035446,-0.21906054738234185,64
gpt2-medium,19,12,-0.63708156,0.36999653433931284,-0.06462792436573353,64
gpt2-medium,19,13,-0.8020454,0.3275784356840726,-0.07362613754821896,64
gpt2-medium,19,14,-0.7631455,0.32990156679317867,-0.26107668271970375,64
gpt2-medium,19,15,-0.56030077,0.3660570105602001,-0.40413315864068466,64
gpt2-medium,20,0,-0.5990554,0.3263123518434064,-0.39224610206398486,64
gpt2-medium,20,1,-0.691039,0.28589797739324896,-0.3819594504369083,64
gpt2-medium,20,2,-0.5975643,0.3652506573446866,-0.14920667429010653,64
gpt2-medium,20,3,-0.8465997,0.30324542368280477,-0.3196201933768299,64
gpt2-medium,20,4,-0.7734121,0.395632057354368,-0.061522524637108396,64
gpt2-medium,20,5,-0.7722159,0.31074752170464087,-0.22988473217457076,64
gpt2-medium,20,6,-0.6773523,0.3366441459491335,-0.633134512605762,64
gpt2-medium,20,7,-0.79508513,0.32412651489520894,-0.407478898109286,64
gpt2-medium,20,8,-0.68484133,0.3127173663213335,-0.4500441335369079,64
gpt2-medium,20,9,-0.7645201,0.3714580710591941,-0.3772793040335338,64
gpt2-medium,20,10,-0.6950316,0.34155582045686655,-0.3686510208625145,64
gpt2-medium,20,11,-0.5892642,0.33826850560204735,-0.44302673864295494,64
gpt2-medium,20,12,-0.6413776,0.38167504401042546,-0.48986920893873304,64
gpt2-medium,20,13,-0.7346143,0.32358704558734236,-0.42731988826299394,64
gpt2-medium,20,14,-0.7283285,0.3126566954727831,-0.25150929356349994,64
gpt2-medium,20,15,-0.64743286,0.34869301935722086,-0.3173741522787435,64
gpt2-medium,21,0,-0.6084785,0.33361320454498816,-0.3121593620126572,64
gpt2-medium,21,1,-0.57916504,0.3528762475169938,-0.5690214727073987,64
gpt2-medium,21,2,-0.71309996,0.31385841503225526,-0.44777260126660784,64
gpt2-medium,21,3,-0.80014867,0.3144263506963335,0.07917417367925106,64
gpt2-medium,21,4,-0.812729,0.3814837521520154,0.052203159937356906,64
gpt2-medium,21,5,-0.7984362,0.3827259776921108,-0.3353723008176043,64
gpt2-medium,21,6,-0.68816936,0.36327727858362524,-0.3880668146245415,64
gpt2-medium,21,7,-0.6956174,0.33501966554543067,-0.47152070947802804,64
gpt2-medium,21,8,-0.7844502,0.3141809331959692,-0.1371482637670416,64
gpt2-medium,21,9,-0.66176695,0.3645304390068712,-0.32856887910113886,64
gpt2-medium,21,10,-0.6007191,0.4066192456360521,-0.2148324975836939,64
gpt2-medium,21,11,-0.8900805,0.34233614185760763,-0.27673393819750347,64
gpt2-medium,21,12,-0.67914695,0.3485698864377778,-0.3481320546333022,64
gpt2-medium,21,13,-0.5525609,0.3277386277914047,-0.4627571461671217,64
gpt2-medium,21,14,-0.69636387,0.3433174429268673,-0.22873267043452733,64
gpt2-medium,21,15,-0.6934184,0.3302030111181325,-0.38904659821463455,64
gpt2-medium,22,0,-0.7366126,0.32386267082444553,-0.5746322454333308,64
gpt2-medium,22,1,-0.5898695,0.32614191236167117,-0.3284165836545024,64
gpt2-medium,22,2,-0.65863365,0.49753151679861135,-0.16648673518352905,64
gpt2-medium,22,3,-0.4020482,0.4152010504541726,0.04588767023798559,64
gpt2-medium,22,4,-0.56876314,0.33459691292253035,-0.5420578998587423,64
gpt2-medium,22,5,-0.646627,0.42443510067873985,0.17337291885587947,64
gpt2-medium,22,6,-0.5405042,0.32341448603005246,-0.4463899450402716,64
gpt2-medium,22,7,-0.64034885,0.3403884192992901,-0.3778154779958249,64
gpt2-medium,22,8,-0.606769,0.33573051362202083,-0.5568794965133007,64
gpt2-medium,22,9,-0.65148526,0.34744710089831515,-0.504585235459917,64
gpt2-medium,22,10,-0.6053953,0.32055835374470415,-0.38234581501474857,64
gpt2-medium,22,11,-0.7714005,0.30388076192346114,-0.587479597806674,64
gpt2-medium,22,12,-0.6146714,0.316953903642194,-0.3397481245903651,64
gpt2-medium,22,13,-0.81008387,0.4138389250327801,-0.20734955152510762,64
gpt2-medium,22,14,-0.5323042,0.4679772237251545,0.37180076172197024,64
gpt2-medium,22,15,-0.57127666,0.36028750497719336,-0.4457848986231521,64
gpt2-medium,23,0,-0.47232488,0.3918966969539379,-0.4501863747660664,64
gpt2-medium,23,1,-0.8455917,0.3390627046083582,-0.34382080627440864,64
gpt2-medium,23,2,-0.38085976,0.4185545115635313,-0.5150564791526777,64
gpt2-medium,23,3,-0.5391942,0.422174195791113,-0.022111909538941273,64
gpt2-medium,23,4,-0.26496685,0.7522910031779059,0.45325990276014194,64
gpt2-medium,23,5,-0.40836832,0.5452160917479416,-0.7368147341169666,64
gpt2-medium,23,6,-0.2763083,0.4625311966600089,-0.8468248950120354,64
gpt2-medium,23,7,-0.57033205,0.4497342222723468,-0.34863435871352644,64
gpt2-medium,23,8,-0.5380963,0.33618100963789843,-0.6006078266030905,64
gpt2-medium,23,9,-0.7711179,0.31039753659018154,-0.42141544520930785,64
gpt2-medium,23,10,-0.7318601,0.3742181001038387,-0.09795110655543636,64
gpt2-medium,23,11,-0.630456,0.3402075469493866,-0.7945520794234459,64
gpt2-medium,23,12,-0.47472036,0.3778200961392501,-0.34464155017690074,64
gpt2-medium,23,13,-0.6167629,0.388552647212456,-0.29471974032176196,64
gpt2-medium,23,14,-0.50314826,0.42108861947881765,-0.1894620105810693,64
gpt2-medium,23,15,-0.6651137,0.5663209033423456,0.3512511830502581,64
