layer,head,mean_entropy,mean_conc
0,0,2.226383924484253,0.32965939055229054
0,1,0.3563688397407532,0.3403949984188738
0,2,2.241142511367798,0.43057016874181814
0,3,0.5524413585662842,0.3034051353561467
0,4,1.3920682668685913,0.38661684866609247
0,5,0.9736311435699463,0.38836340452062673
0,6,2.0438177585601807,0.286827663923132
0,7,1.733964443206787,0.3297861465092363
0,8,2.1877715587615967,0.4290956474583724
0,9,2.4125137329101562,0.4597850441932678
0,10,2.341984748840332,0.4842757284641266
0,11,2.4003865718841553,0.3939523922985998
11,0,2.3093349933624268,0.30799583319959967
11,1,1.300597906112671,0.29639090546246233
11,2,0.9341266751289368,0.31080146544966203
11,3,1.8502434492111206,0.38660637880193777
11,4,1.2613199949264526,0.3399539189092044
11,5,0.7904738187789917,0.2920416521614996
11,6,0.7192889451980591,0.30274593881491957
11,7,1.029921531677246,0.32439132805528315
11,8,2.010222911834717,0.5464560923905208
11,9,0.5569586753845215,0.3301972849615689
11,10,1.7394553422927856,0.37328607100864936
11,11,1.5534073114395142,0.3966096480344904
