layer,head,mean_conc,r_conc_entropy
0,0,0.32965939055229054,-0.5651357707442539
0,1,0.3403949984188738,0.04721659648901712
0,2,0.43057016874181814,-0.3080674640936449
0,3,0.3034051353561467,0.17100696894821943
0,4,0.38661684866609247,-0.18097654897439344
0,5,0.38836340452062673,0.6060224029513673
0,6,0.286827663923132,-0.7712859949659996
0,7,0.3297861465092363,-0.6142735979595931
0,8,0.4290956474583724,-0.33758557335188555
0,9,0.4597850441932678,-0.5911178449165037
0,10,0.4842757284641266,-0.03144163969086166
0,11,0.3939523922985998,-0.752376472218353
1,0,0.2839096085778598,-0.6000641502906522
1,1,0.2982698329563799,-0.8102525275135614
1,2,0.3518196549908868,-0.7360630898177944
1,3,0.6244128366996502,-0.9231158794998414
1,4,0.3504684752431409,-0.8532162344728043
1,5,0.43077267243944367,-0.11637334461974896
1,6,0.38781921616916,-0.3951282238944831
1,7,0.3644806917371421,-0.5568004323635046
1,8,0.35341522097587585,-0.7106694300369785
1,9,0.33838358726994744,-0.4768171663829475
1,10,0.3743621126331132,-0.9352480627662311
1,11,0.6828806112552511,0.4606840097759561
2,0,0.3622343971811492,-0.8320733146237336
2,1,0.4002113861256632,-0.3341644526615882
2,2,0.30129047097830935,-0.26021024500775347
2,3,0.28070267007268707,-0.6792313195430438
2,4,0.3793780125420669,-0.49240070302752603
2,5,0.3270538140987528,-0.5969163112098382
2,6,0.35129502312890415,-0.5365052017286052
2,7,0.3740688290061622,-0.9139038091380953
2,8,0.36054388510769814,-0.5780567041244732
2,9,0.3594650980727426,-0.45280685570860196
2,10,0.30839194614311743,-0.5374346908860932
2,11,0.36679698886542483,-0.7253121203594947
3,0,0.4711788882469309,0.49750571958018897
3,1,0.2898946399318761,-0.7351827615401043
3,2,0.2711035434542031,-0.3308553184252525
3,3,0.3199507578693587,-0.12942709088823015
3,4,0.37246391382710686,0.05066706307126713
3,5,0.2936256887583897,-0.7303309411219568
3,6,0.2992088070203518,-0.7167394315266857
3,7,0.3093393080193421,-0.625303614993621
3,8,0.3227883371813544,-0.3704494202309072
3,9,0.30613708290560493,-0.60012890378802
3,10,0.3094222751157037,-0.828658728880638
3,11,0.3264162663755746,-0.646611891724229
4,0,0.3075096977168116,-0.3253921168427746
4,1,0.3338365986429412,-0.7469066778896091
4,2,0.355632654551802,-0.8424703438146458
4,3,0.35484443707712765,-0.7534573075393275
4,4,0.3498684512130145,-0.04946677392750299
4,5,0.25875370872431785,-0.493363263815989
4,6,0.3023828894927584,-0.6430922289340092
4,7,0.3307692516466667,-0.7243880538638919
4,8,0.3494716677172431,-0.565890062650622
4,9,0.34132346510887146,-0.8000406339784101
4,10,0.33371077323782034,-0.3220461418455087
4,11,0.3375115605263874,-0.035302014496759335
5,0,0.2818430415515242,-0.2719575484166305
5,1,0.2922536165549837,-0.18812878142524359
5,2,0.2972743382741665,-0.24897383783775012
5,3,0.33939924373708924,-0.7158975920196765
5,4,0.305942941842408,-0.4742293065678137
5,5,0.3033997991989399,-0.33564773377522894
5,6,0.3136227444328111,0.05426875242071144
5,7,0.2832992909283474,-0.28384496635067813
5,8,0.3007978406445733,-0.5314506080456525
5,9,0.31394475184637927,-0.4220786902218493
5,10,0.3670529928700677,-0.18674710293420008
5,11,0.40992649464771663,-0.2563657081193659
6,0,0.39079339648115224,-0.5454824834715052
6,1,0.28376434846171017,-0.17840448415457946
6,2,0.30910609405616235,-0.6494174684503686
6,3,0.35904350876808167,-0.31760518624634304
6,4,0.2872230390022541,-0.36285171467177685
6,5,0.35389857662135155,-0.7067374610900358
6,6,0.31398882537052547,-0.4151638722281613
6,7,0.31463072937110376,-0.6968128429837401
6,8,0.28781500458717346,-0.1834367995871806
6,9,0.3437792607422533,-0.08736163435566635
6,10,0.3028764971371355,-0.11530501130011102
6,11,0.32621669820670424,-0.5638007818935052
7,0,0.3045118600130081,-0.09406138871346283
7,1,0.35454247326686467,-0.526747109596312
7,2,0.2733920797191817,-0.18020205997361866
7,3,0.35961655501661627,-0.39046991534621645
7,4,0.3436440671312398,-0.04974507063289086
7,5,0.34980325657745887,-0.6496133622259294
7,6,0.34624501137897884,-0.4415647567654546
7,7,0.34369919012332784,-0.2721895027687931
7,8,0.3686662377982304,-0.29678375144332725
7,9,0.3592597148541746,-0.5465124202224645
7,10,0.291558847858988,-0.10326852109553328
7,11,0.297030920612401,-0.21766631463444056
8,0,0.37604294768695173,-0.5344770835739524
8,1,0.2818296901110945,-0.24688946401330414
8,2,0.28375256524003784,-0.6293703501979896
8,3,0.3397621574073002,-0.08930365883027705
