head,mean_entropy,mean_conc
0,2.3093349933624268,0.30799583319959967
1,1.300597906112671,0.29639090546246233
2,0.9341266751289368,0.31080146544966203
3,1.8502434492111206,0.38660637880193777
4,1.2613199949264526,0.3399539189092044
5,0.7904738187789917,0.2920416521614996
6,0.7192889451980591,0.30274593881491957
7,1.029921531677246,0.32439132805528315
8,2.010222911834717,0.5464560923905208
9,0.5569586753845215,0.3301972849615689
10,1.7394553422927856,0.37328607100864936
11,1.5534073114395142,0.3966096480344904
