domain,layer,head,rA,mean_conc
double,7,3,-0.61707063006217,0.3298234698730846
double,7,4,-0.6672556938107138,0.2866961559237436
double,7,5,-0.4980714157470702,0.3240253391653992
double,7,6,-0.6666184222594547,0.3037774687589601
double,7,7,-0.6212081557257662,0.3049611381666605
double,7,8,-0.4571365668478625,0.3384628462236981
double,7,9,-0.5331953162214396,0.3050687708133875
double,7,10,-0.6459459347374644,0.2629625066075214
double,7,11,-0.7185926154608584,0.3008239338564318
double,8,0,-0.5801095094258467,0.3328113885119904
double,8,1,-0.6646382580828183,0.269144332166328
double,8,2,-0.45954060159408605,0.31043447398169094
double,8,3,-0.5882812503084794,0.34596428933531737
double,8,4,-0.5354307076453216,0.2934726176913394
double,8,5,-0.5634161197108508,0.3018914646534033
double,8,6,-0.478323810253886,0.325786589016748
double,8,7,-0.5471178956092005,0.29501897113960845
double,8,8,-0.343961229104674,0.3331890180706978
double,8,9,-0.5622526666538689,0.3147771387945774
double,8,10,-0.5278034369665596,0.33513420733601545
double,8,11,-0.3933833483291288,0.3263787918312605
double,9,0,-0.46462719276928977,0.34803301841020584
double,9,1,-0.4020946101466808,0.3003967614021412
double,9,2,-0.4507495248450225,0.31361364954432774
double,9,3,-0.5370882272230437,0.3375234548435655
double,9,4,-0.6676455161019432,0.3423237634259601
double,9,5,-0.5728554183285821,0.36156783686127775
double,9,6,-0.5186625144251514,0.29432446804157525
double,9,7,-0.5239322528432994,0.321024727336196
double,9,8,-0.6009449469059792,0.31139246443676394
double,9,9,-0.4386013116482876,0.29723787186450734
double,9,10,-0.6054005355061555,0.28817905676226285
double,9,11,-0.5169104333614114,0.35836580551640934
double,10,0,-0.37462151057426657,0.31413638799689536
double,10,1,-0.3639379310700304,0.28570708199295886
double,10,2,-0.3941694675074821,0.30176501617182133
double,10,3,-0.45055860890362615,0.3127773095702016
double,10,4,-0.4250484431691213,0.3240125515433245
double,10,5,-0.614348941900235,0.29050623226997463
double,10,6,-0.39504923766167316,0.29009568621945936
double,10,7,-0.3972401362750946,0.3447149281584939
double,10,8,-0.6513122701324332,0.28929752769858336
double,10,9,-0.4650412475320237,0.29509928579940353
double,10,10,-0.4830489824235667,0.2946565114828043
double,10,11,-0.4291856898098424,0.3459718859819479
double,11,0,-0.3855901061895329,0.32043772121501524
double,11,1,-0.5569029976353356,0.3016994008144667
double,11,2,-0.42143154163812735,0.3033979169504587
double,11,3,-0.4992742141479349,0.3824983367393183
double,11,4,-0.41154371444846405,0.2931306350023247
double,11,5,-0.4843340798171193,0.30559268403191897
double,11,6,-0.5293531074415564,0.27828034498663834
